-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DNI,2021,45.5,-116.5,2.18,1.55,4.72,6.95,6.11,9.33,7.53,6.22,6.49,3.71,2.25,1.23,4.86
ALLSKY_SFC_SW_DNI,2021,45.5,-117.5,2.18,1.55,4.72,6.95,6.11,9.33,7.53,6.22,6.49,3.71,2.25,1.23,4.86
ALLSKY_SFC_SW_DNI,2021,45.5,-118.5,2.19,2.45,5.09,7.8,7.78,9.19,8.6,6.89,6.24,4.38,2.36,1.59,5.38
ALLSKY_SFC_SW_DNI,2021,45.5,-119.5,2.19,2.45,5.09,7.8,7.78,9.19,8.6,6.89,6.24,4.38,2.36,1.59,5.38
ALLSKY_SFC_SW_DNI,2021,45.5,-120.5,2.02,3.27,5.15,7.52,7.63,8.65,9.32,6.46,6.12,3.87,2.4,1.55,5.33
ALLSKY_SFC_SW_DNI,2021,45.5,-121.5,2.02,3.27,5.15,7.52,7.63,8.65,9.32,6.46,6.12,3.87,2.4,1.55,5.33
ALLSKY_SFC_SW_DNI,2021,45.5,-122.5,1.69,1.9,4.0,6.71,5.73,7.75,8.51,5.27,5.71,2.98,1.56,1.29,4.42
ALLSKY_SFC_SW_DNI,2021,45.5,-123.5,1.69,1.9,4.0,6.71,5.73,7.75,8.51,5.27,5.71,2.98,1.56,1.29,4.42
ALLSKY_SFC_SW_DNI,2021,45.5,-124.5,1.57,1.69,3.45,5.2,3.84,5.42,3.42,3.53,5.2,3.09,1.3,1.48,3.27
ALLSKY_SFC_SW_DNI,2021,46.5,-116.5,1.76,1.39,4.38,7.05,6.71,8.89,7.66,5.5,5.99,4.11,1.91,0.92,4.69
ALLSKY_SFC_SW_DNI,2021,46.5,-117.5,1.76,1.39,4.38,7.05,6.71,8.89,7.66,5.5,5.99,4.11,1.91,0.92,4.69
ALLSKY_SFC_SW_DNI,2021,46.5,-118.5,1.92,2.98,5.46,7.44,7.88,8.97,8.73,5.98,6.06,4.64,2.03,1.63,5.31
ALLSKY_SFC_SW_DNI,2021,46.5,-119.5,1.92,2.98,5.46,7.44,7.88,8.97,8.73,5.98,6.06,4.64,2.03,1.63,5.31
ALLSKY_SFC_SW_DNI,2021,46.5,-120.5,1.92,3.04,4.67,7.32,7.06,8.63,9.8,5.93,5.86,3.76,2.17,1.43,5.13
ALLSKY_SFC_SW_DNI,2021,46.5,-121.5,1.92,3.04,4.67,7.32,7.06,8.63,9.8,5.93,5.86,3.76,2.17,1.43,5.13
ALLSKY_SFC_SW_DNI,2021,46.5,-122.5,1.58,1.65,3.59,6.05,4.96,7.33,7.46,4.99,5.18,2.78,1.37,1.11,4.01
ALLSKY_SFC_SW_DNI,2021,46.5,-123.5,1.58,1.65,3.59,6.05,4.96,7.33,7.46,4.99,5.18,2.78,1.37,1.11,4.01
ALLSKY_SFC_SW_DNI,2021,46.5,-124.5,1.51,1.5,3.37,4.83,3.56,5.42,3.51,3.86,4.77,3.14,1.12,1.25,3.16
ALLSKY_SFC_SW_DNI,2021,47.5,-116.5,1.39,1.7,4.31,6.64,6.85,8.58,8.29,4.79,5.48,4.0,1.65,0.84,4.54
ALLSKY_SFC_SW_DNI,2021,47.5,-117.5,1.39,1.7,4.31,6.64,6.85,8.58,8.29,4.79,5.48,4.0,1.65,0.84,4.54
ALLSKY_SFC_SW_DNI,2021,47.5,-118.5,1.73,3.07,5.42,7.2,7.72,9.06,9.23,5.61,6.03,4.6,1.84,1.75,5.27
ALLSKY_SFC_SW_DNI,2021,47.5,-119.5,1.73,3.07,5.42,7.2,7.72,9.06,9.23,5.61,6.03,4.6,1.84,1.75,5.27
ALLSKY_SFC_SW_DNI,2021,47.5,-120.5,1.63,2.33,3.86,6.66,6.03,8.06,9.37,5.12,5.03,3.14,1.47,1.2,4.49
ALLSKY_SFC_SW_DNI,2021,47.5,-121.5,1.63,2.33,3.86,6.66,6.03,8.06,9.37,5.12,5.03,3.14,1.47,1.2,4.49
ALLSKY_SFC_SW_DNI,2021,47.5,-122.5,1.59,2.02,3.56,5.98,5.16,7.34,7.98,5.43,4.58,2.48,1.15,1.25,4.04
ALLSKY_SFC_SW_DNI,2021,47.5,-123.5,1.59,2.02,3.56,5.98,5.16,7.34,7.98,5.43,4.58,2.48,1.15,1.25,4.04
ALLSKY_SFC_SW_DNI,2021,47.5,-124.5,1.51,1.61,3.25,5.05,3.6,5.68,4.26,4.41,4.33,2.99,0.97,1.19,3.24
ALLSKY_SFC_SW_DNI,2021,48.5,-116.5,1.32,2.53,4.04,5.82,6.37,8.15,8.83,4.44,4.88,3.64,1.21,1.22,4.37
ALLSKY_SFC_SW_DNI,2021,48.5,-117.5,1.32,2.53,4.04,5.82,6.37,8.15,8.83,4.44,4.88,3.64,1.21,1.22,4.37
ALLSKY_SFC_SW_DNI,2021,48.5,-118.5,1.56,2.75,4.61,6.47,6.89,8.56,8.9,5.04,5.27,3.9,1.6,1.79,4.78
ALLSKY_SFC_SW_DNI,2021,48.5,-119.5,1.56,2.75,4.61,6.47,6.89,8.56,8.9,5.04,5.27,3.9,1.6,1.79,4.78
ALLSKY_SFC_SW_DNI,2021,48.5,-120.5,1.61,1.91,3.31,5.52,4.93,7.27,8.72,4.86,4.34,2.88,1.04,1.47,3.99
ALLSKY_SFC_SW_DNI,2021,48.5,-121.5,1.61,1.91,3.31,5.52,4.93,7.27,8.72,4.86,4.34,2.88,1.04,1.47,3.99
ALLSKY_SFC_SW_DNI,2021,48.5,-122.5,1.71,2.03,3.45,5.84,5.68,7.77,8.65,5.57,4.46,2.59,1.11,1.39,4.19
ALLSKY_SFC_SW_DNI,2021,48.5,-123.5,1.71,2.03,3.45,5.84,5.68,7.77,8.65,5.57,4.46,2.59,1.11,1.39,4.19
ALLSKY_SFC_SW_DNI,2021,48.5,-124.5,1.55,1.99,3.22,5.56,4.6,6.19,5.82,5.44,3.75,2.68,0.9,1.42,3.59
ALLSKY_SFC_SW_DNI,2022,45.5,-116.5,2.71,3.76,2.93,3.42,3.5,6.16,10.0,7.87,5.66,5.66,2.51,1.45,4.64
ALLSKY_SFC_SW_DNI,2022,45.5,-117.5,2.71,3.76,2.93,3.42,3.5,6.16,10.0,7.87,5.66,5.66,2.51,1.45,4.64
ALLSKY_SFC_SW_DNI,2022,45.5,-118.5,2.25,4.13,3.74,4.52,4.87,6.89,10.16,8.37,6.18,5.75,2.71,1.56,5.09
ALLSKY_SFC_SW_DNI,2022,45.5,-119.5,2.25,4.13,3.74,4.52,4.87,6.89,10.16,8.37,6.18,5.75,2.71,1.56,5.09
ALLSKY_SFC_SW_DNI,2022,45.5,-120.5,2.25,4.41,3.89,4.2,4.79,6.69,9.39,8.42,6.3,5.51,2.56,1.85,5.02
ALLSKY_SFC_SW_DNI,2022,45.5,-121.5,2.25,4.41,3.89,4.2,4.79,6.69,9.39,8.42,6.3,5.51,2.56,1.85,5.02
ALLSKY_SFC_SW_DNI,2022,45.5,-122.5,2.73,3.5,3.12,3.26,3.39,4.89,7.89,7.62,5.83,4.71,3.01,1.48,4.29
ALLSKY_SFC_SW_DNI,2022,45.5,-123.5,2.73,3.5,3.12,3.26,3.39,4.89,7.89,7.62,5.83,4.71,3.01,1.48,4.29
ALLSKY_SFC_SW_DNI,2022,45.5,-124.5,2.47,2.84,2.84,4.43,3.18,3.78,3.65,4.27,4.51,2.75,2.67,1.5,3.24
ALLSKY_SFC_SW_DNI,2022,46.5,-116.5,1.89,3.37,3.37,3.77,3.83,6.12,9.98,7.99,5.17,5.27,2.73,1.15,4.55
ALLSKY_SFC_SW_DNI,2022,46.5,-117.5,1.89,3.37,3.37,3.77,3.83,6.12,9.98,7.99,5.17,5.27,2.73,1.15,4.55
ALLSKY_SFC_SW_DNI,2022,46.5,-118.5,1.3,4.06,4.21,5.0,4.87,6.57,9.55,8.27,5.34,5.25,2.83,1.29,4.88
ALLSKY_SFC_SW_DNI,2022,46.5,-119.5,1.3,4.06,4.21,5.0,4.87,6.57,9.55,8.27,5.34,5.25,2.83,1.29,4.88
ALLSKY_SFC_SW_DNI,2022,46.5,-120.5,2.32,4.1,3.9,3.77,4.11,6.22,9.19,8.48,5.7,5.19,3.08,1.63,4.81
ALLSKY_SFC_SW_DNI,2022,46.5,-121.5,2.32,4.1,3.9,3.77,4.11,6.22,9.19,8.48,5.7,5.19,3.08,1.63,4.81
ALLSKY_SFC_SW_DNI,2022,46.5,-122.5,2.27,2.92,2.58,2.93,3.0,4.3,7.28,7.13,5.48,4.36,2.82,1.22,3.86
ALLSKY_SFC_SW_DNI,2022,46.5,-123.5,2.27,2.92,2.58,2.93,3.0,4.3,7.28,7.13,5.48,4.36,2.82,1.22,3.86
ALLSKY_SFC_SW_DNI,2022,46.5,-124.5,2.06,2.7,2.64,4.35,3.19,3.66,3.69,4.33,4.56,2.87,2.37,1.4,3.15
ALLSKY_SFC_SW_DNI,2022,47.5,-116.5,1.42,3.44,3.28,3.35,3.03,5.6,9.67,8.08,5.27,5.07,2.37,1.09,4.31
ALLSKY_SFC_SW_DNI,2022,47.5,-117.5,1.42,3.44,3.28,3.35,3.03,5.6,9.67,8.08,5.27,5.07,2.37,1.09,4.31
ALLSKY_SFC_SW_DNI,2022,47.5,-118.5,1.31,3.52,4.34,4.74,4.39,6.27,9.38,8.27,5.18,5.33,2.76,1.47,4.75
ALLSKY_SFC_SW_DNI,2022,47.5,-119.5,1.31,3.52,4.34,4.74,4.39,6.27,9.38,8.27,5.18,5.33,2.76,1.47,4.75
ALLSKY_SFC_SW_DNI,2022,47.5,-120.5,2.12,3.33,3.11,3.47,3.26,5.34,8.65,7.85,5.16,4.58,2.63,1.37,4.24
ALLSKY_SFC_SW_DNI,2022,47.5,-121.5,2.12,3.33,3.11,3.47,3.26,5.34,8.65,7.85,5.16,4.58,2.63,1.37,4.24
ALLSKY_SFC_SW_DNI,2022,47.5,-122.5,1.92,2.87,2.54,2.92,2.94,4.24,7.38,7.5,5.82,4.32,2.82,1.37,3.89
ALLSKY_SFC_SW_DNI,2022,47.5,-123.5,1.92,2.87,2.54,2.92,2.94,4.24,7.38,7.5,5.82,4.32,2.82,1.37,3.89
ALLSKY_SFC_SW_DNI,2022,47.5,-124.5,1.71,2.76,2.34,3.64,2.92,3.36,4.11,5.08,4.9,3.21,2.52,1.31,3.15
ALLSKY_SFC_SW_DNI,2022,48.5,-116.5,1.24,3.22,2.88,3.42,2.3,4.88,9.27,7.72,4.98,4.83,2.19,1.26,4.01
ALLSKY_SFC_SW_DNI,2022,48.5,-117.5,1.24,3.22,2.88,3.42,2.3,4.88,9.27,7.72,4.98,4.83,2.19,1.26,4.01
ALLSKY_SFC_SW_DNI,2022,48.5,-118.5,1.55,3.85,3.75,4.13,3.44,5.16,9.29,7.67,5.06,5.08,2.79,1.93,4.48
ALLSKY_SFC_SW_DNI,2022,48.5,-119.5,1.55,3.85,3.75,4.13,3.44,5.16,9.29,7.67,5.06,5.08,2.79,1.93,4.48
ALLSKY_SFC_SW_DNI,2022,48.5,-120.5,1.94,3.07,2.52,2.97,2.48,4.13,8.32,7.6,5.17,4.31,2.74,1.8,3.92
ALLSKY_SFC_SW_DNI,2022,48.5,-121.5,1.94,3.07,2.52,2.97,2.48,4.13,8.32,7.6,5.17,4.31,2.74,1.8,3.92
ALLSKY_SFC_SW_DNI,2022,48.5,-122.5,1.55,2.97,2.75,3.18,3.43,4.45,7.59,7.86,6.16,4.41,2.96,1.39,4.06
ALLSKY_SFC_SW_DNI,2022,48.5,-123.5,1.55,2.97,2.75,3.18,3.43,4.45,7.59,7.86,6.16,4.41,2.96,1.39,4.06
ALLSKY_SFC_SW_DNI,2022,48.5,-124.5,1.55,3.0,2.63,3.01,2.85,3.63,5.35,6.2,5.68,4.03,2.67,1.43,3.5
